name,url,target_price
20 Inch Carry On Luggage Hard Shell Suitcases with Wheels Lightweight Travel Luggage for Weekender Suitcase with Lock Rolling Luggage with Front Pocket(Cuban Sand),https://www.amazon.com/dp/B0BJ5X9LXZ,169.89
"Women’s Spontaneous 31-inch Softside Spinner Wheel Luggage, Integrated TSA Accepted Lock, Black Noir, Checked-Large",https://www.amazon.com/dp/B07V6MZQP4,282.13
"Chatelet Air Hardside Luggage, Spinner Wheels, Chocolate Brown, Checked-Medium 24 Inch",https://www.amazon.com/dp/B08XMYH4L2,269.99
Luggage Set 2PCS Suitcase PC+ABS Carry On Luggage with Spinner Wheel,https://www.amazon.com/dp/B09NL1XGRT,139.99
"Luggage Suitcases With Spinner Wheels,Upgrade Wide Handle PC Hardshell Rolling Travel Suitcase with TSA Lock, Checked-Medium 24-Inch, Smoke White",https://www.amazon.com/dp/B0BKKXDVVM,199.99
Alpha Short Trip Expandable 4-Wheeled Packing Case - Roller Bag for Short Trips & Weekend Getaways - Carry-On Luggage with 4 Spinner Wheels - Travel Suitcase for Men & Women - Black,https://www.amazon.com/dp/B07MK2KDF1,1195.0
"Large Luggage Suitcase with Wheels, Check-in 24 Inch Harside Bag with 70/30 Split, Wet Dry Separation, TSA Lock for Travel, Women, Checked-Medium Hard Shell Trunk (White)",https://www.amazon.com/dp/B0C9938WYL,129.99
"Titanium Hardside Expandable Luggage with Spinner Wheels, Silver, Checked-Large 29 Inch,207183011",https://www.amazon.com/dp/B00MQF5QR4,169.99
"Road Runner Pro Carry-On Luggage, 20” Lightweight PC Hardside Suitcase with USB Charging Port, Spinner Trolley for Luggage with Front Compartment, TSA Lock (Black)",https://www.amazon.com/dp/B092CVP1V8,209.99
"Luggage Aluminium Frame Suitcase TSA Lock 100% PC 20in 24in 28in (Sliver, L(28in))",https://www.amazon.com/dp/B074WMWL1R,159.99
26 Inch Checked Luggage Collection - Expandable Scratch Resistant (ABS + PC) Hardside Suitcase - Designer Lightweight Bag with 8-Rolling Spinner Wheels (Girls Print),https://www.amazon.com/dp/B07JQPB359,169.99
"Carry On Luggage Suitcase with Spinner Wheels Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel,20inch, Avocado Green",https://www.amazon.com/dp/B0BS8MMV15,155.99
Luggage Aluminium Frame Suitcase PC ABS Hard Shell TSA Lock No Zipper 28In Sakura Pink,https://www.amazon.com/dp/B0BY1JGGRP,149.99
"7366 Hardside Expandable Luggage with Spinner Wheels, White, Checked-Large 27-Inch",https://www.amazon.com/dp/B07B4TBHTP,154.99
"Unisex-Adult Bold Softside Expandable Rollaboard Upright Luggage, Olive/Black, Checked-Large 28-Inch",https://www.amazon.com/dp/B07G1RYDDH,460.0
Luggage Sets Expandable ABS Hardshell 3pcs Clearance Luggage Hardside Lightweight Durable Suitcase sets Spinner Wheels Suitcase with TSA Lock (Black),https://www.amazon.com/dp/B09XMLCQN4,179.99
"Vienna Spinner Suitcase Luggage - Expandable with Wheels - 26.7 Inch, Black",https://www.amazon.com/dp/B07FNJXLX6,101.32
"Bold-Softside Expandable Luggage with Spinner Wheels, Blue/Black, Checked-Medium 26-Inch",https://www.amazon.com/dp/B07G23DCNL,212.49
"Helium Aero Hardside Expandable Luggage with Spinner Wheels, Blue Cobalt, 3-Piece Set (21/25/29)",https://www.amazon.com/dp/B078KVYFCQ,399.99
"Werks Traveler 6.0 Softside Spinner Luggage, Blue, Checked-Large (27"") (605412)",https://www.amazon.com/dp/B07GLNNQWF,650.0
"GinzaTravel Trunk Luggage, 28 Inch Luggage with Spinner Wheels, Scratch resistant texture Lightweight PC material with TSA Lock（Family Travel Series ） (Black)",https://www.amazon.com/dp/B0B3X4CH2R,109.97
"Evolve SE Hardside Expandable Luggage with Double Wheels, Matte Burgundy, Large Spinner",https://www.amazon.com/dp/B0BN4CTWBF,155.0
"Carry On Luggage 20'' Suitcase with Spinner Wheels Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel, Sapphire Blue",https://www.amazon.com/dp/B0BS8X313Z,160.99
Luggage Expandable PC ABS Durable Hardside Suitcase with Spinner Wheels TSA Lock Checked-Medium 24 Inch LightGreen,https://www.amazon.com/dp/B0C61B5V1F,109.99
"Luggage PC+ABS Durable Expandable Hardside Suitcase with Double Spinner Wheels TSA Lock 28-Inch, Blue",https://www.amazon.com/dp/B0BNJHHTG6,129.99
"All Aluminum Luggage Zipperless Hard Shell Suitcase with TSA Lock Spinner Wheels Lightweight Metal Alloy Suitcases (Silver, 28 inch)",https://www.amazon.com/dp/B0BZ4LY43M,449.99
"Subterra Carry On Roller 22""",https://www.amazon.com/dp/B01N0QT1UZ,359.95
Alpha 3 Worldwide Trip Expandable 4-Wheeled Packing Case - Large Suitcase with Top and Side-Grab Handles - Black,https://www.amazon.com/dp/B07MX2BYB5,1495.0
"Sky Max 2.0 Softside Expandable Luggage with Spinner Wheels, Blue, Checked-Medium, 24 Inch",https://www.amazon.com/dp/B0B6LT4ST4,159.99
"Reaction ""Madison Square"" Women's Lightweight Hardside Chevron Expandable Spinner Luggage, 28-inch Checked, Black With Gold Zippers",https://www.amazon.com/dp/B089CZ9N1M,185.0
"Clavel Hardside Expandable Luggage with Spinner Wheels, Blue Jean, Checked-Medium 25 Inch",https://www.amazon.com/dp/B08N814FSS,150.38
Luggage Aluminium Frame Suitcase PC ABS Hard Shell TSA Lock No Zipper 28In Haze Blue,https://www.amazon.com/dp/B0CCCTL2ZM,189.99
Subterra Carry On Spinner,https://www.amazon.com/dp/B07YH2XB8B,348.0
Luggage PC ABS Hardside Lightweight Suitcase with 4 Universal Wheels TSA Lock Checked-Large 28 Inch Black,https://www.amazon.com/dp/B0BPS6ZSZ9,129.99
"20 Inch Carry On with Front Pocket, 22x14.6x10in, 45L, Lightweight ABS+PC Hardshell Suitcase with TSA Lock, YKK Zipper & 4 Spinner Silent Wheels, Orange",https://www.amazon.com/dp/B0BFQLJVM1,112.99
"Grace Luggage, 28” Hardside Suitcase, ABS+PC Harshell Spinner Luggage with TSA Lock, Spinner Wheels - Black, 28 Inch",https://www.amazon.com/dp/B09QYJ9TLJ,239.99
19 Degree Short Trip Expandable 4 Wheeled Packing Case - Navy,https://www.amazon.com/dp/B0B3HZPKMS,895.0
"Moonlight Hardside Expandable Luggage with Spinner Wheels, Black Marble, Checked-Large 28-Inch",https://www.amazon.com/dp/B07ZSWKZYN,139.99
28 Inch Luggage Softside Expandable Luggage Checked luggage Large Suitcase with Lock Travel Luggage Suitcases with Wheels Upright Rolling Luggage for Women Men Weekender,https://www.amazon.com/dp/B0BRSNNR32,155.54
"Sky Lite Softside Expandable Luggage with Spinner Wheels, Green, Checked-Large 28 Inch",https://www.amazon.com/dp/B0C2JQWZRZ,109.99
Alpha 3 Medium Trip Expandable 4-Wheeled Packing Case - Large Suitcase with Top and Side-Grab Handles - Black,https://www.amazon.com/dp/B07MGGMX8N,1295.0
Multifunctional 26 Inch Checked Luggage Hard Shell Suitcases with Wheels Tsa Approved Luggage Large Suitcase Travel Luggage for Women & Men Rolling Luggage Bags for Weekender(Blackish Green),https://www.amazon.com/dp/B0C7BF9GRR,239.89
"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Perfect Plum, Checked Large 29-Inch",https://www.amazon.com/dp/B07QZLJBNK,297.49
"Tourlite Softside Expandable Upright 2 Wheel Luggage, Lightweight Suitcase, Men and Women, Black, Carry-On 22-Inch",https://www.amazon.com/dp/B07HGHBMSS,144.49
B|Y Ulisse Spinner Suitcase - 21 Inch Carry-On Luggage - Hard Exterior and TSA-Approved Lock,https://www.amazon.com/dp/B0BBQ8MWV8,143.2
"29 Inch Luggage Suitcases With Spinner Wheels Lightweight PC hardside Rolling Suitcase With TSA Lock, Checked-Large 29-Inch（Cuba Sand）",https://www.amazon.com/dp/B0BTL1LDHN,209.99
"Checked Luggage Wide Handle Luxury Design Rolling Travel Suitcase PC Hardside with Aluminum Frame Hollow Spinner Wheels, with Cover, 24 inch, Smoke White",https://www.amazon.com/dp/B0BNJ4MDB4,224.99
"Hard Sided Luggage with Spinner Wheels,Expandable Suitcases with TSA Lock (28"" Checked-Large, Deep Blue)…",https://www.amazon.com/dp/B0CDXDV1BB,129.99
Croco PVC Designer Luggage - Lightweight Expandable 28 Inch Suitcase for Women - Large Durable Bag with 4-Rolling Spinner Wheels (Burgendy),https://www.amazon.com/dp/B01N4R4WTI,169.9
"Checked Luggage 24 inch, 100% PC Large Suitcase with Wheels, Hardside Suitcase TSA Approved Medium Hard Case Travel Luggage (Beige)",https://www.amazon.com/dp/B0BXS556Z8,139.99
"Reaction Diamond Tower Luggage Lightweight Hardside Expandable 8-Wheel Spinner Travel Suitcase, Black, 28-Inch Checked",https://www.amazon.com/dp/B09DTRZ57Q,159.99
"25"" Upright Luggage with 8 Spinner Wheels, Clay",https://www.amazon.com/dp/B07DNJPVK4,108.13
"Luggage, Aluninum Hardside Suitcase With TSA Lock (Silver, 25 inch Check-In Medium)",https://www.amazon.com/dp/B09GFLYP5H,369.0
Luggage Sets (Only 28in Expandable)Carry on Suitcase with Spinner Wheels,https://www.amazon.com/dp/B09K7GXLVT,129.99
"28 Inch Luggage, Expandable Suitcase Checked Luggage, PC Hard Case Luggage with TSA Lock Spinner Wheels YKK Zippers (Green)",https://www.amazon.com/dp/B0C3C9W1NZ,129.99
"Star Wars Hardside Spinner Wheel Luggage, Intergalactic, Checked-Large 28-Inch",https://www.amazon.com/dp/B07VC7SJFM,157.93
"20 Inch suitcase, Travel Case, User-Friendly Front Door, Usb Charging, Silent Wheel, Tsa Lock, Hook, Phone Holder, Dry Wet Separation, Pc Material, Aluminum Frame, Multi Lever, Cup Holder",https://www.amazon.com/dp/B0C6J52B9G,159.0
Evolve SE Hardside Expandable Luggage with Spinners | Alpine Green | 2PC SET (Carry-on/Medium),https://www.amazon.com/dp/B0BJ2VD445,309.49
"Spinners, Plum, 29-inch Baseline Large Expandable",https://www.amazon.com/dp/B0CFYX6FVC,869.0
"Sugar Skull Travel Suitcase with Wheels - Spinner Rolling Luggage Bag for Traveling - 14.2"" x 21.5"" x 8.7"" Hard Shell Spinner Carry On Baggage for Vacations, Weekender, Traveler Calavera Skeleton Bags",https://www.amazon.com/dp/B09X5ZGJR2,149.99
Subterra Spinner 63cm/25 Black,https://www.amazon.com/dp/B07YH2NJ7R,419.95
26 Inch Luggage Large Suitcase With Spinner Wheels Tsa Luggage Suitcases Traveler's Choice Hard Case Luggage For Women & Men Rolling Checked Luggage(Graphite Grey),https://www.amazon.com/dp/B0BYZRSR65,189.99
"Ultimax 30"" Hardside Spinner Trunk Luggage,Expandable, Teal",https://www.amazon.com/dp/B08R6PWN3R,299.99
"B|Y Ulisse Expandable Spinner Suitcase - 28"" & 30"" Inch Travel Luggage with TSA-Approved Lock and Hardside Exterior - Multiple Color Options",https://www.amazon.com/dp/B07PJVHZ1P,259.0
"Cruise 3.0 Hardside Expandable Luggage with Spinner Wheels, Platinum, Checked-Medium 24 Inch",https://www.amazon.com/dp/B09R2MH2MH,168.99
"Census 32"" Softside Checked 8 Wheel Spinner, Grey Skin",https://www.amazon.com/dp/B0BN6VDMSD,134.99
"Carry on Luggage, Mixi Suitcase Spinner Wheels Luggage Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel",https://www.amazon.com/dp/B0C2YKR496,159.99
Luggage Expandable PC ABS Durable Hardside Suitcase with Spinner Wheels TSA Lock Checked-Large 28 Inch LightGreen,https://www.amazon.com/dp/B0C61GCR5S,139.99
"8028 Hardside Expandable Spinner Luggage, Black/White, Checked-Large 28-Inch",https://www.amazon.com/dp/B0C5ND2298,137.74
"Luggage Hard Shell Suitcases Airline Approved Carry On Luggage 22x14x9 TSA Approved Luggage Suite Case with Wheels Travel Luggage Wide Handle 20 Inch Suitcase for Women Man, White",https://www.amazon.com/dp/B0BPSD2252,189.99
"Intrepid 32"" Softside Checked 8 Wheel Expandable Spinner with TSA Lock, Black",https://www.amazon.com/dp/B0BCPJZXM3,149.99
Designer Luggage - Checked Large 28 Inch Softside Suitcase - Expandable for Extra Packing Capacity - Lightweight Bag with Rolling Spinner Wheels (Harlo Black),https://www.amazon.com/dp/B06XB2ZKVN,169.99
"St. Tropez Hardside Expandable Luggage with Spinner Wheels, Pink, Checked-Large 28 Inch",https://www.amazon.com/dp/B082VWS452,239.0
"REACTION Renegade_Collection, Cilantro, 24-Inch Checked",https://www.amazon.com/dp/B087H47ZWP,129.99
"Lares Softside Expandable Luggage with Spinner Wheels, Purple, Checked 30-Inch",https://www.amazon.com/dp/B0B4V7S4NM,149.99
26 Inch Checked Luggage Collection - Expandable Scratch Resistant (ABS + PC) Hardside Suitcase - Designer Lightweight Bag with 8-Rolling Spinner Wheels (Stripe Roses),https://www.amazon.com/dp/B07JQ9H54X,169.99
"Luggage Large 28"" Expandable Softside Suitcase With Spinner Wheels (28in, Legends Turquoise)",https://www.amazon.com/dp/B071YF98T8,165.99
